Image Index,AbsRel,SqRel,RMSE,RMSE_log,delta1,delta2,delta3
1127,0.027826313,0.002263464,0.070330779,0.015100568,0.999661193,0.99998007,1
1128,0.022825081,0.001992035,0.080748581,0.010736242,1,1,1
1129,0.020940292,0.002227476,0.085737578,0.011958648,0.999362245,1,1
1130,0.027564361,0.002109201,0.073708064,0.012839186,1,1,1
1134,0.030102317,0.002545982,0.083223324,0.013270963,1,1,1
1135,0.031357732,0.002364494,0.073777951,0.013857654,1,1,1
1143,0.02543553,0.0016515,0.060040862,0.012774706,0.999880421,1,1
1144,0.020288248,0.002162779,0.094912298,0.01007188,0.99996014,1,1
1145,0.025685173,0.003015641,0.107156808,0.01323316,0.999501754,1,1
1146,0.029306144,0.002256397,0.075308472,0.013332576,1,1,1
1147,0.029221745,0.00236628,0.079025934,0.013225677,1,1,1
1148,0.018209575,0.001041631,0.040687221,0.011618887,1,1,1
1149,0.026328153,0.003854682,0.133198629,0.012990487,0.999880421,1,1
1150,0.023269517,0.002093571,0.082327729,0.011837834,0.99998007,1,1
1151,0.032526732,0.00339014,0.095959543,0.01508033,1,1,1
1152,0.01679239,0.000818057,0.038626875,0.00992528,1,1,1
1153,0.027090586,0.001735226,0.060234252,0.01248262,1,1,1
1154,0.015826759,0.000757387,0.036191523,0.009096126,0.99996014,1,1
1155,0.029213769,0.002095871,0.066279321,0.014092516,0.99996014,1,1
1156,0.029936956,0.002198299,0.070866094,0.013458524,1,1,1
1157,0.008887699,0.000301067,0.025234263,0.005360429,1,1,1
1161,0.034044934,0.003052915,0.086984535,0.01545282,1,1,1
1162,0.031859562,0.002409536,0.07342178,0.014374769,1,1,1
1163,0.020204779,0.000948354,0.042467805,0.009880272,0.99998007,1,1
1164,0.023448735,0.002552171,0.097127433,0.011439333,0.99998007,1,1
1165,0.022625599,0.001734705,0.072685965,0.010631341,1,1,1
1166,0.02414645,0.001818875,0.070054289,0.011517491,0.99998007,1,1
1169,0.022367533,0.001866942,0.075061416,0.010750315,1,1,1
1170,0.028103901,0.002327339,0.078332777,0.012953428,1,1,1
1173,0.026781354,0.001811394,0.067168768,0.01216344,1,1,1
1174,0.027984922,0.002044228,0.07035594,0.012942124,0.99996014,1,1
1175,0.024899777,0.001736648,0.064309743,0.011804908,0.999880421,1,1
1178,0.017279984,0.001095741,0.056433312,0.008961441,0.999820631,1,1
1179,0.033784651,0.004107557,0.100004515,0.017587413,0.998106665,1,1
1180,0.024416569,0.001694641,0.068310506,0.01150083,0.999920281,1,1
1181,0.027741627,0.002432712,0.083394153,0.013431614,0.99994021,1,1
1182,0.025674842,0.002082039,0.076251688,0.012016964,1,1,1
1183,0.025472457,0.002027633,0.076835768,0.011380242,1,1,1
